"formAndId","item","decorated","target","distractor1","distractor2","distractor3"
"b-3-4-4","We will find out who is the fastest runner at the competition tomorrow.","competition","contest","event","demonstration","performance"
"b-3-4-11","Would you like individual packs of crackers or a large box for the picnic? ","individual","single","special","several","standard"
"b-3-4-17","The coach praised the team for their selection of Luke as captain.","selection","choice","support","trust","aid"
"a-3-4-19","Today’s phones have the advantage over older phones, which could only be used in one place.","advantage","benefit","control","strength","force"
"a-3-4-12","In a play, the set consists of the things that are on the stage, such as chairs and walls. ","consists","is made","is full","is part","is built"
"b-3-4-10","Ben needs to increase his practice time if he wants to do well in the swim meet next month.","increase","raise","correct","change","reach "
"b-3-4-20","Wild animals that live in large cities must adapt their behavior if they are to survive.","survive","exist","compete","improve","benefit"
"b-5-6-9","The illustration on the book’s cover made people want to read it.","illustration","picture","title","description","design"
"a-5-6-15","Only very capable swimmers can make it to the other end of the lake.","capable","skilled","fearless","confident","adventuresome"
"a-3-4-13","The family frequently traveled to parks during the summer.  ","frequently","often","normally ","usually","chiefly"
"b-3-4-18","The situation for the lost hikers could get quite dangerous if the snow keeps falling.","situation","condition","route","treatment","footing"
"b-3-4-8","The older generation didn’t have as many inventions to use as their children do now.   ","generation","age group","teenagers","citizens","companies"
"b-5-6-1","We bought a large quantity of cheese from the shop.  ","quantity","amount","variety","piece","spread"
"b-3-4-9","Her eyelids gradually closed as she nodded off to sleep. ","gradually","slowly","softly","tightly","lightly"
"b-3-4-1","You can adjust your seatbelt by pushing or pulling the strap through the buckle.","adjust","change","cross","break","twist"
"b-3-4-14","Most of my clothes come from my older sister, but I occasionally get something new.","occasionally","sometimes","eagerly","usually","happily"
"b-3-4-7","Mayflies only exist for about 24 hours, and they must reproduce during this time. ","exist","live","grow","fly","hatch"
"b-3-4-13","Some wild animals in cities obtain food from garbage cans.","obtain","get","want","save","lose"
"b-3-4-2","Some students take advanced classes if the normal classes aren’t challenging enough.","advanced","higher","extra","several","rapid"
"b-3-4-6","A newborn horse stays in contact with its mother, following her around.","contact","touch","motion","step","agreement"
"b-3-4-19","It is standard for workers to sit during meetings, but meetings where everyone stands are becoming popular.","standard","usual","strange","best","required"
"a-5-6-3","Because of her moral principles, she returned the lost money.","principles","character","limits","activity","support"
"a-5-6-16","The store didn’t make the profit it needed and had to close down.","profit","income","effort","product ","progress"
"b-3-4-5","The constant rain each spring causes flooding in the area. ","constant","endless","strong","driving","first"
"b-5-6-17","The senator represented her state for 20 years before retiring.","represented","spoke for","worked in","voted in","went to"
"b-3-4-15","The first graders made great progress in learning to read.","progress","growth","plans","sense","time"
"b-3-4-16","Beth wrote her social studies report on Martin Luther King, Jr.","report","paper","news","draft","story"
"b-3-4-12","The influence of television on children’s behavior is a topic that scientists study.  ","influence","effect","direction","importance","position"
"b-3-4-3","The company attracted good workers because it paid well and was a fun place to work. ","attracted","interested","chose","bought","used"
"b-5-6-12","Doctors use technology to help people with vision problems see clearly.","technology","instruments","medicine","energy","observation"
"a-3-4-17","The scientists studied the composition of the rocks to understand the history of the moon.  ","composition","structure","period","action","position"
"a-5-6-17","Hawaii is often associated with beaches, but the state  has many other attractions.  ","associated","connected","shown","filled","covered"
"a-3-4-14","One of the primary reasons for going to a beach is to swim.","primary","main","general","current","direct"
"b-5-6-11","A car must use more fuel to maintain its speed when going up a hill.","maintain","continue","choose","increase","limit"
"b-5-6-16","The zoo has homes for many types of animals including a portion for birds.","portion","part","cage","garden","house"
"a-5-6-5","Beans and rice is one of the traditional dishes of Mexico.","traditional","usual ","modern","delicious","different"
"a-3-4-4","The children combined their money to buy a present for Mother’s Day.   ","combined","added","divided","piled","used"
